ds,y
2018-07-20 23:59:59,7332.107938
2018-07-21 23:59:59,7408.248919
2018-07-22 23:59:59,7398.299716
2018-07-23 23:59:59,7717.666749
2018-07-24 23:59:59,8403.83
2018-07-25 23:59:59,8159.365684
2018-07-26 23:59:59,7930.914507
2018-07-27 23:59:59,8181.26
2018-07-28 23:59:59,8227.608883
2018-07-29 23:59:59,8216.34
2018-07-30 23:59:59,8165.974378
2018-07-31 23:59:59,7727.18
2018-08-01 23:59:59,7604.760194
2018-08-02 23:59:59,7537.347346
2018-08-03 23:59:59,7414.08
2018-08-04 23:59:59,7004.636173
2018-08-05 23:59:59,7031.367304
2018-08-06 23:59:59,6936.688947
2018-08-07 23:59:59,6718.136633
2018-08-08 23:59:59,6281.532861
2018-08-09 23:59:59,6539.292912
2018-08-10 23:59:59,6145.30363
2018-08-11 23:59:59,6234.13
2018-08-12 23:59:59,6313.781753
2018-08-13 23:59:59,6253.192419
2018-08-14 23:59:59,6193.62
2018-08-15 23:59:59,6272.288183
2018-08-16 23:59:59,6313.51
2018-08-17 23:59:59,6582.317285
2018-08-18 23:59:59,6396.714782
2018-08-19 23:59:59,6489.272882
2018-08-20 23:59:59,6257.620518
2018-08-21 23:59:59,6475.9
2018-08-22 23:59:59,6354.59
2018-08-23 23:59:59,6526.36
2018-08-24 23:59:59,6690.88
2018-08-25 23:59:59,6737.091801
2018-08-26 23:59:59,6708.7892
2018-08-27 23:59:59,6907.72114
2018-08-28 23:59:59,7072.252318
2018-08-29 23:59:59,7035.053814
2018-08-30 23:59:59,6983.160591
2018-08-31 23:59:59,7016.098903
2018-09-01 23:59:59,7191.08
2018-09-02 23:59:59,7294.270231
2018-09-03 23:59:59,7260.458425
2018-09-04 23:59:59,7359.827759
2018-09-05 23:59:59,6681.01919
2018-09-06 23:59:59,6493.545638
2018-09-07 23:59:59,6395.01
2018-09-08 23:59:59,6185.354031
2018-09-09 23:59:59,6235.831929
2018-09-10 23:59:59,6300.881406
2018-09-11 23:59:59,6279.5
2018-09-12 23:59:59,6324.399963
2018-09-13 23:59:59,6485.7
2018-09-14 23:59:59,6478.04
2018-09-15 23:59:59,6521.408362
2018-09-16 23:59:59,6497.98
2018-09-17 23:59:59,6252.045772
2018-09-18 23:59:59,6335.7
2018-09-19 23:59:59,6386.94
2018-09-20 23:59:59,6492.98
2018-09-21 23:59:59,6750.373222
2018-09-22 23:59:59,6709.657231
2018-09-23 23:59:59,6700.167502
2018-09-24 23:59:59,6581.52
2018-09-25 23:59:59,6429.789184
2018-09-26 23:59:59,6457.181191
2018-09-27 23:59:59,6680.722777
2018-09-28 23:59:59,6619.913315
2018-09-29 23:59:59,6582.242888
2018-09-30 23:59:59,6598.798737
2018-10-01 23:59:59,6573.233437
2018-10-02 23:59:59,6500.68
2018-10-03 23:59:59,6463.910721
2018-10-04 23:59:59,6547.45
2018-10-05 23:59:59,6590.227439
2018-10-06 23:59:59,6550.465384
2018-10-07 23:59:59,6571.275353
2018-10-08 23:59:59,6605.747219
2018-10-09 23:59:59,6589.48
2018-10-10 23:59:59,6523.284643
2018-10-11 23:59:59,6154.69
2018-10-12 23:59:59,6187.92505
2018-10-13 23:59:59,6196.456837
2018-10-14 23:59:59,6183.638558
2018-10-15 23:59:59,6439.049438
2018-10-16 23:59:59,6457.401039
2018-10-17 23:59:59,6442.567278
2018-10-18 23:59:59,6394.95
2018-10-19 23:59:59,6384.333295
2018-10-20 23:59:59,6413.960328
2018-10-21 23:59:59,6414.80825
2018-10-22 23:59:59,6408.285042
2018-10-23 23:59:59,6395.063587
2018-10-24 23:59:59,6413.564314
2018-10-25 23:59:59,6394.74335
